address_line_1,address_line_2,city,compliance_status,contract_decision,contribution_amount,contribution_date,cumulative_total,dataset_source,employer,exceeds_cumulative_limit,exceeds_single_limit,first_name,full_name,id,kyc_passed,kyc_status,last_name,occupation,phone,state,unique_id,wallet,zip
867 Spruce Boulevard,Unit 6A,Minneapolis,,,,,,prospects,Logistics Co,,,Marie,,1,,,Ford,CPA,555-8727,MN,528KDAEQ,0x389823300130cdcaf022b7d3d1c878ce15441133,55401
443 Birch Drive,,San Antonio,,,,,,prospects,Healthcare Partners,,,Kenneth,,2,,,Hughes,Network Engineer,555-4882,TX,KGXWR2WG,0xcaf899f8d2a7c35cbb337507657ae93ddd4cab77,78201
205 Elm Way,,Fresno,,,,,,prospects,Security Firm,,,Keith,,3,,,Herrera,Designer,555-5504,CA,N8L248JX,0x1c15b273a40f0ec7156240ef5649957a91c3be31,93701
137 Elm Road,,Houston,,,,,,prospects,Hospital Network,,,Chloe,,4,,,Washington,Real Estate Agent,555-8722,TX,GMC4HU1A,0x72b6fbbefe9c2189db481e1d965db73185cf4ce6,77001
591 Ash Avenue,Suite 7A,Detroit,,,,,,prospects,Education First,,,Nathan,,5,,,Harrison,Real Estate Agent,555-5954,MI,FPZLFMHR,0x3d952cd9aa7983084912522abd41abd9caa1c11a,48201
103 Cedar Way,,Minneapolis,,,,,,prospects,Architecture Firm,,,Larry,,6,,,Washington,Producer,555-2965,MN,M65RJT76,0x29e23b3764a9a3fa6d1d8b9db63ea2cbcd964090,55401
658 Oak Street,,Oakland,,,,,,prospects,Accounting Firm,,,Richard,,7,,,James,Product Manager,555-8020,CA,0R17I15A,0x511446388a9ec4cac4672ae181f1b12410db5150,94601
676 Birch Avenue,,Raleigh,,,,,,prospects,Consulting Firm,,,Katherine,,8,,,Morales,Teacher,555-1281,NC,JTFTYIIW,0xa1a3f04ca212c098bc5b61c33ad20991cf2a5aa5,27601
904 Willow Road,,San Diego,,,,,,prospects,Investment Bank,,,William,,9,,,Martinez,Operations Manager,555-6708,CA,H1TMJONR,0x093d614695a5f341982eafec2535a8cf5b968706,92101
228 Birch Avenue,Suite 14,Portland,,,,,,prospects,Tech Startup,,,Benjamin,,10,,,Gonzalez,Pharmacist,555-2045,OR,GKFZ8VML,0xd31d13c11820e496c395ccc87d0f9e3521a457bb,97201
499 Spruce Avenue,,Las Vegas,,,,,,prospects,University,,,Roger,,11,,,Simmons,Designer,555-4838,NV,SHCMURR9,0x81dc2a10585031750230116e9f3af7cdb76f19c4,89101
943 Cedar Way,,New York,,,,,,prospects,Publishing House,,,Kyle,,12,,,Aguilar,Underwriter,555-2487,NY,5CGDJPQM,0x95cdc33cd55a73f43c543223cfd76c6ab14c8d78,10001
354 Cedar Boulevard,Unit 7B,Jacksonville,,,,,,prospects,Aerospace Corp,,,Denise,,13,,,Walker,Pilot,555-1048,FL,AKFNUF1V,0xd4b964e186fa469c3c7a2de8a135d1b211d2b063,32201
469 Maple Place,,Chicago,,,,,,prospects,Global Marketing Corp,,,Janet,,14,,,Butler,Director,555-4113,IL,AYS92TUR,0xcfb51711a19426a0ada164d078f3e4f75005bcf5,60601
