id,unique_id,first_name,last_name,address_line_1,address_line_2,city,state,zip,phone,employer,occupation,wallet,contribution_amount,contribution_date
1,9R1LB52B,Laura,Ward,125 Pine Place,,Atlanta,GA,30301,555-3473,Consulting Firm,Pilot,0xc81131c2206dcacd857c8fd22937b17a9edade8b,3300,2024-01-07
2,BS2LMXM4,James,Powell,765 Elm Place,Suite 2D,Miami,FL,33101,555-4207,Tech Solutions Inc,Banker,0xbe3499ead82ee1b832ad617e920fcb9420d95c15,985.14,2024-01-07
3,M13JF1JW,Debra,Anderson,524 Pine Court,,Seattle,WA,98101,555-9600,Nonprofit Org,Operations Manager,0x523a2ca6a5d61408a22071c45869970473e785a5,1269.73,2024-01-07
4,M22SMOJS,Stephen,Ward,620 Birch Lane,Unit 17B,San Antonio,TX,78201,555-1782,Consulting Firm,Engineer,0x813389e2380a9b638316362b070c19bca9955689,764.13,2024-01-07
5,CNPVNIFW,Jose,Rivera,354 Ash Street,Apt 19B,New York,NY,10001,555-2452,Law Associates,Agent,0x7edb2abea6c22946711c2ae65ebbe4f88d419de7,894.92,2024-01-11
6,U22P0A4G,Charlotte,Aguilar,776 Oak Place,,Anaheim,CA,92801,555-2564,Sports Management,Project Manager,0x31eda11686c47c6ce67f545f67623e233a295489,1827.95,2024-01-11
7,BS2LMXM4,James,Powell,765 Elm Place,Suite 2D,Miami,FL,33101,555-4207,Tech Solutions Inc,Banker,0xbe3499ead82ee1b832ad617e920fcb9420d95c15,784.79,2024-01-18
8,5W2GH215,Jacqueline,Ruiz,634 Maple Drive,,Minneapolis,MN,55401,555-2653,Consulting Firm,Site Supervisor,0xa6f73db471dfbf4fcdbc146bca6f57b4e4a21f36,836.6,2024-01-20
9,H3D8ZLEY,Christian,Butler,953 Willow Lane,Unit 1B,Austin,TX,78701,555-3971,Financial Advisory LLC,Director,0xd9345816116cd600b4d2a3a78c37eee7551ba686,1786.01,2024-01-23
10,92CTKVF0,Andrea,White,145 Pine Place,,Detroit,MI,48201,555-4875,University,Product Manager,0x007c0582ff9ab4d26e63667de01513dfb4833739,1581.03,2024-01-24
11,AMNKHZ1B,Jennifer,Mendoza,124 Pine Way,,Milwaukee,WI,53201,555-6978,Food Services,Operations Manager,0x3db59b0ecfdccda46e37fca7df83f9f66f45f2c1,845.27,2024-01-24
