id,unique_id,first_name,last_name,address_line_1,address_line_2,city,state,zip,phone,employer,occupation,wallet
1,528KDAEQ,Marie,Ford,867 Spruce Boulevard,Unit 6A,Minneapolis,MN,55401,555-8727,Logistics Co,CPA,0x389823300130cdcaf022b7d3d1c878ce15441133
2,KGXWR2WG,Kenneth,Hughes,443 Birch Drive,,San Antonio,TX,78201,555-4882,Healthcare Partners,Network Engineer,0xcaf899f8d2a7c35cbb337507657ae93ddd4cab77
3,N8L248JX,Keith,Herrera,205 Elm Way,,Fresno,CA,93701,555-5504,Security Firm,Designer,0x1c15b273a40f0ec7156240ef5649957a91c3be31
4,GMC4HU1A,Chloe,Washington,137 Elm Road,,Houston,TX,77001,555-8722,Hospital Network,Real Estate Agent,0x72b6fbbefe9c2189db481e1d965db73185cf4ce6
5,FPZLFMHR,Nathan,Harrison,591 Ash Avenue,Suite 7A,Detroit,MI,48201,555-5954,Education First,Real Estate Agent,0x3d952cd9aa7983084912522abd41abd9caa1c11a
6,M65RJT76,Larry,Washington,103 Cedar Way,,Minneapolis,MN,55401,555-2965,Architecture Firm,Producer,0x29e23b3764a9a3fa6d1d8b9db63ea2cbcd964090
7,0R17I15A,Richard,James,658 Oak Street,,Oakland,CA,94601,555-8020,Accounting Firm,Product Manager,0x511446388a9ec4cac4672ae181f1b12410db5150
8,JTFTYIIW,Katherine,Morales,676 Birch Avenue,,Raleigh,NC,27601,555-1281,Consulting Firm,Teacher,0xa1a3f04ca212c098bc5b61c33ad20991cf2a5aa5
9,H1TMJONR,William,Martinez,904 Willow Road,,San Diego,CA,92101,555-6708,Investment Bank,Operations Manager,0x093d614695a5f341982eafec2535a8cf5b968706
10,GKFZ8VML,Benjamin,Gonzalez,228 Birch Avenue,Suite 14,Portland,OR,97201,555-2045,Tech Startup,Pharmacist,0xd31d13c11820e496c395ccc87d0f9e3521a457bb
11,SHCMURR9,Roger,Simmons,499 Spruce Avenue,,Las Vegas,NV,89101,555-4838,University,Designer,0x81dc2a10585031750230116e9f3af7cdb76f19c4
