unique_id,first_name,last_name,wallet,contribution_amount,contribution_date,address_line_1,city,state,zip,phone,employer,occupation,kyc_status,compliance_status
92CTKVF0,Andrea,White,0x007c0582ff9ab4d26e63667de01513dfb4833739,1581.03,2024-01-24,145 Pine Place,Detroit,MI,48201,555-4875,University,Product Manager,NOT_FOUND,NO_KYC_RECORD
LFU0TPM0,Sara,Coleman,0x036c512f46d765956869b2d40e8accf9ff9c8613,1569.91,2024-10-01,864 Oak Lane,Austin,TX,78701,555-5254,Construction Co,Software Engineer,PASSED,VALID
JPG2EBWF,Brittany,Hamilton,0x05645b4fb088df89ea8e1312f7a3a10eeb785f6b,1947.9,2024-09-28,159 Elm Boulevard,Portland,OR,97201,555-2936,Airlines,CEO,NOT_FOUND,NO_KYC_RECORD
9AFFUUV5,Jessica,Martin,0x05799cd6cebb2440a422ca35fc5ea0b9fbbd925a,42.26,2024-05-05,415 Pine Lane,Raleigh,NC,27601,555-5388,Biotech Labs,Engineer,NOT_FOUND,NO_KYC_RECORD
9AFFUUV5,Jessica,Martin,0x05799cd6cebb2440a422ca35fc5ea0b9fbbd925a,838.63,2024-06-17,415 Pine Lane,Raleigh,NC,27601,555-5388,Biotech Labs,Engineer,NOT_FOUND,NO_KYC_RECORD
NPUEXHGC,Aaron,Foster,0x062be612223a13602911e0c645268933d7c2afad,320.8,2024-04-11,816 Elm Circle,Phoenix,AZ,85001,555-4072,Telecom Company,Director,NOT_FOUND,NO_KYC_RECORD
NPUEXHGC,Aaron,Foster,0x062be612223a13602911e0c645268933d7c2afad,680.57,2024-06-03,816 Elm Circle,Phoenix,AZ,85001,555-4072,Telecom Company,Director,NOT_FOUND,NO_KYC_RECORD
VS0R6KCH,Madison,Hughes,0x08a91a373f93252ed01e9aeeb76adf3fff5f09b3,327.77,2024-02-23,898 Ash Court,Honolulu,HI,96801,555-3268,Media Productions,Site Supervisor,NOT_FOUND,NO_KYC_RECORD
H1TMJONR,William,Martinez,0x093d614695a5f341982eafec2535a8cf5b968706,334.09,2024-07-13,904 Willow Road,San Diego,CA,92101,555-6708,Investment Bank,Operations Manager,PASSED,VALID
WYMUMPQ6,Grace,Howard,0x0c1ef388200d522bf1daa07b7811942465b48600,1889.44,2024-02-29,903 Elm Circle,Jacksonville,FL,32201,555-8412,Retail Giants,Producer,NOT_FOUND,NO_KYC_RECORD
GUE158T6,Donald,Sanchez,0x0c3479ffedfce359043d0c52acfdbd734842db26,1622.9,2024-11-12,593 Oak Circle,Miami,FL,33101,555-4116,Gaming Studio,CPA,NOT_FOUND,NO_KYC_RECORD
BELZFATP,Dennis,Campbell,0x0eab408c7f6720241267bf93385746c0b09d8ab2,1059.02,2024-02-24,500 Cedar Circle,Houston,TX,77001,555-5231,Consulting Firm,Editor,PASSED,VALID
BELZFATP,Dennis,Campbell,0x0eab408c7f6720241267bf93385746c0b09d8ab2,208.77,2024-04-03,500 Cedar Circle,Houston,TX,77001,555-5231,Consulting Firm,Editor,PASSED,VALID
BELZFATP,Dennis,Campbell,0x0eab408c7f6720241267bf93385746c0b09d8ab2,86.83,2024-05-16,500 Cedar Circle,Houston,TX,77001,555-5231,Consulting Firm,Editor,PASSED,VALID
LT5YGESQ,Heather,Watson,0x0ef0a3cf41099ff0370fec537266e33bb193ffcf,811.15,2024-08-05,605 Cedar Place,Raleigh,NC,27601,555-8982,Tech Solutions Inc,Creative Director,NOT_FOUND,NO_KYC_RECORD
BIKJ52AQ,Charlotte,Chen,0x0f35d7146c2e374b0937ce698d42bb632c70ed81,430.55,2024-04-22,472 Maple Court,Chicago,IL,60601,555-8618,Sports Management,Real Estate Agent,NOT_FOUND,NO_KYC_RECORD
BIKJ52AQ,Charlotte,Chen,0x0f35d7146c2e374b0937ce698d42bb632c70ed81,604.32,2024-05-10,472 Maple Court,Chicago,IL,60601,555-8618,Sports Management,Real Estate Agent,NOT_FOUND,NO_KYC_RECORD
BIKJ52AQ,Charlotte,Chen,0x0f35d7146c2e374b0937ce698d42bb632c70ed81,302.15,2024-07-23,472 Maple Court,Chicago,IL,60601,555-8618,Sports Management,Real Estate Agent,NOT_FOUND,NO_KYC_RECORD
VXAQ4IID,Noah,Vasquez,0x16f530f01f1116cfd3c5c022aab6f0441df82fbd,1466.18,2024-07-24,813 Ash Boulevard,San Francisco,CA,94102,555-3650,Telecom Company,Teacher,PASSED,VALID
Y7YXP2TQ,Mason,Taylor,0x1a266923ce883405ef40730b8973cd7781442039,801.54,2024-12-27,825 Birch Drive,San Jose,CA,95101,555-3169,Airlines,Mechanical Engineer,PASSED,VALID
O1SLGDF6,Rachel,Ortiz,0x1a8964573d6d1d28b950996362d9f6da2b38885e,3299.91,2024-12-05,659 Birch Drive,Detroit,MI,48201,555-8672,Fashion House,Partner,NOT_FOUND,NO_KYC_RECORD
6OFTWGZ6,Mark,Gray,0x1bc03a152f48c8cdd240a373b79fa1fd6d46b0f5,694.9,2024-12-16,354 Maple Road,San Antonio,TX,78201,555-1588,Airlines,Engineer,NOT_FOUND,NO_KYC_RECORD
V3MEWMIB,Richard,Perry,0x1c76af4858fb2bf47d806117b433252f6df240cf,863.96,2024-08-02,749 Pine Court,Houston,TX,77001,555-7200,Food Services,Attorney,PASSED,VALID
V3MEWMIB,Richard,Perry,0x1c76af4858fb2bf47d806117b433252f6df240cf,128.85,2024-11-08,749 Pine Court,Houston,TX,77001,555-7200,Food Services,Attorney,PASSED,VALID
T3OAEB3E,Charlotte,Kelly,0x1e64dd35f4defceea0351705533b6fe4d4a54d1a,428.67,2024-05-01,928 Oak Way,Houston,TX,77001,555-2503,Art Gallery,CPA,NOT_FOUND,NO_KYC_RECORD
T3OAEB3E,Charlotte,Kelly,0x1e64dd35f4defceea0351705533b6fe4d4a54d1a,626.71,2024-06-22,928 Oak Way,Houston,TX,77001,555-2503,Art Gallery,CPA,NOT_FOUND,NO_KYC_RECORD
T3OAEB3E,Charlotte,Kelly,0x1e64dd35f4defceea0351705533b6fe4d4a54d1a,717.55,2024-06-23,928 Oak Way,Houston,TX,77001,555-2503,Art Gallery,CPA,NOT_FOUND,NO_KYC_RECORD
T3OAEB3E,Charlotte,Kelly,0x1e64dd35f4defceea0351705533b6fe4d4a54d1a,10.73,2024-08-15,928 Oak Way,Houston,TX,77001,555-2503,Art Gallery,CPA,NOT_FOUND,NO_KYC_RECORD
OHFLU3OH,Zachary,Medina,0x1e76a2f53f0432153de523b6f533dbcb89014a66,445.01,2024-03-19,396 Spruce Street,San Jose,CA,95101,555-8426,Pharmacy Chain,Financial Analyst,NOT_FOUND,NO_KYC_RECORD
UWTXU6QO,Julia,Moore,0x1ef9abf4c32324319db56d3c97a2f2b675654f31,48.2,2024-12-13,634 Willow Way,San Francisco,CA,94102,555-7038,Construction Co,Director,NOT_FOUND,NO_KYC_RECORD
SJTVFVB0,Deborah,Nguyen,0x1faa993bad304b35f13dcee234392df2f3b90617,703.3,2024-03-29,609 Pine Circle,Charlotte,NC,28201,555-7868,Education First,Software Engineer,NOT_FOUND,NO_KYC_RECORD
SJTVFVB0,Deborah,Nguyen,0x1faa993bad304b35f13dcee234392df2f3b90617,69.8,2024-10-13,609 Pine Circle,Charlotte,NC,28201,555-7868,Education First,Software Engineer,NOT_FOUND,NO_KYC_RECORD
060BKHPG,David,Gray,0x22c2d0b5f6a28ab00af5804b0ad8866f6a1af515,1219.09,2024-02-07,885 Cedar Avenue,Indianapolis,IN,46201,555-3595,Financial Advisory LLC,Professor,NOT_FOUND,NO_KYC_RECORD
BXCCT17O,Sara,Anderson,0x23b85badc811ea5160612fee46fe033bcc842d54,1801.93,2024-05-13,165 Oak Lane,San Diego,CA,92101,555-5573,Film Studio,Operations Manager,NOT_FOUND,NO_KYC_RECORD
BXCCT17O,Sara,Anderson,0x23b85badc811ea5160612fee46fe033bcc842d54,707.31,2024-09-28,165 Oak Lane,San Diego,CA,92101,555-5573,Film Studio,Operations Manager,NOT_FOUND,NO_KYC_RECORD
5IHZRG4O,Alexander,Nguyen,0x253388843aa51c720f6787dc35a3f541047a46a9,1928.28,2024-07-01,636 Maple Way,New York,NY,10001,555-6943,Auto Industries,CEO,NOT_FOUND,NO_KYC_RECORD
5IHZRG4O,Alexander,Nguyen,0x253388843aa51c720f6787dc35a3f541047a46a9,767.81,2024-10-27,636 Maple Way,New York,NY,10001,555-6943,Auto Industries,CEO,NOT_FOUND,NO_KYC_RECORD
8M0BJ6U9,Julia,Mitchell,0x25537341182677efd7b13297b9d158737b2c10c3,1274.1,2024-07-07,603 Ash Street,Kansas City,MO,64101,555-3396,Art Gallery,Game Developer,PASSED,VALID
EOA89JQR,Kevin,Cooper,0x25a81d9a08710762512088f686cb2a11cb08d3aa,37.34,2024-08-23,568 Birch Drive,Charlotte,NC,28201,555-7208,Real Estate Group,Creative Director,PASSED,VALID
122TZVNB,Denise,Owens,0x28ce14913a41d6858cff2780bab2dac19ac53102,43.73,2024-06-27,998 Oak Court,Fresno,CA,93701,555-5673,Education First,Network Engineer,NOT_FOUND,NO_KYC_RECORD
GLSEX3RD,Anthony,Patel,0x2a64f7bb981a38dac719b003e6b397db240abb4a,1458.94,2024-03-22,659 Birch Street,Boston,MA,02101,555-2854,Pharmacy Chain,Designer,NOT_FOUND,NO_KYC_RECORD
GLSEX3RD,Anthony,Patel,0x2a64f7bb981a38dac719b003e6b397db240abb4a,854.11,2024-08-25,659 Birch Street,Boston,MA,02101,555-2854,Pharmacy Chain,Designer,NOT_FOUND,NO_KYC_RECORD
GLSEX3RD,Anthony,Patel,0x2a64f7bb981a38dac719b003e6b397db240abb4a,985.95,2024-10-07,659 Birch Street,Boston,MA,02101,555-2854,Pharmacy Chain,Designer,NOT_FOUND,NO_KYC_RECORD
GHN1RBNW,Douglas,Long,0x2da6ed35f23a97f2bcb70f9b04821754947703b5,1662.89,2024-04-03,312 Poplar Lane,Austin,TX,78701,555-7641,Aerospace Corp,Systems Analyst,PASSED,VALID
NGX9HRGV,Diane,Morales,0x2f9aa73566c8e49df152e96c4fdf6405e02938a2,16.83,2024-11-30,396 Oak Road,Portland,OR,97201,555-3456,Retail Chain,Producer,NOT_FOUND,NO_KYC_RECORD
4376J1GV,Walter,Harrison,0x318effcab4ce638cece0d59287d60367a79f3b22,938.2,2024-03-24,448 Birch Way,Dallas,TX,75201,555-5890,Accounting Firm,Real Estate Agent,NOT_FOUND,NO_KYC_RECORD
U22P0A4G,Charlotte,Aguilar,0x31eda11686c47c6ce67f545f67623e233a295489,1827.95,2024-01-11,776 Oak Place,Anaheim,CA,92801,555-2564,Sports Management,Project Manager,NOT_FOUND,NO_KYC_RECORD
U22P0A4G,Charlotte,Aguilar,0x31eda11686c47c6ce67f545f67623e233a295489,993.85,2024-07-25,776 Oak Place,Anaheim,CA,92801,555-2564,Sports Management,Project Manager,NOT_FOUND,NO_KYC_RECORD
